Name,Designator,Footprint,Quantity
330,"R10,R11,R4,R5",R_AXIAL-0.3,4
470,"R13,R20",R_AXIAL-0.3,2
1k,"R6,R12",R_AXIAL-0.3,2
3k3,"R16,R17",R_AXIAL-0.3,2
6.8k,"R8,R2",R_AXIAL-0.3,2
5k,"R9,R3",TRIMPOT-VERTICAL,2
10k,"R7,R1",R_AXIAL-0.3,2
18k,"R14,R19",R_AXIAL-0.3,2
33k,"R15,R21,R18",R_AXIAL-0.3,3
10n ceramic,"C7,C8,C9,C10",RAD-0.1,4
470n ceramic,"C1,C4",RAD-0.1,2
100n ceramic,"C2,C5,C6",RAD-0.1,3
10u electrolytic,C3,CAP-D4.0×F1.5,1
BAT43,"D1,D2,D3,D4,D5,D6",D_DO-35_SOD27_P7.62MM_HORIZONTAL,6
BC547A,"Q1,Q2",TO92-INLINE,2
MCP6002-EP,U1,DIP8,1
MCP4725 Breakout,CN1,MCP4725-B,1
7805 Voltage regulator,U3,7805,1
ALPS_ENCODER+PUSHSWITCH,ENC,,1
Seeeduino XIAO (SAMD21),SEEDUINO,SEEDUINO XIAO,1
THONKICONN JACK,J1-J7,,7
POWER HEADER,P1,HDR-IDC-2.54-2X8P,1
Header-Male-2.54_1x8,"H1,H2",HDR-TH_8P-P2.54-V-M,2
